gene	pLI	LOEUF
SEC14L6	2.4606e-08	1.063
CCDC38	1.8346e-13	1.063
C2orf15	0.052798	1.063
MRPL30	0.052798	1.063
PIGZ	1.2688e-05	1.063
FCRL5	4.6105e-17	1.063
PPP2R1B	3.0047e-15	1.063
PIGB	3.8535e-11	1.063
NOSIP	1.2622e-05	1.064
NOX1	8.6564e-08	1.064
NEFH	2.6684e-12	1.064
GOLPH3L	1.2615e-05	1.064
NARFL	1.8864e-09	1.064
SST	0.34128	1.064
GMFB	0.0053339	1.064
MYO15B	0.00049067	1.064
UGT1A6	3.0491e-07	1.064
EVC	3.462e-25	1.064
EVC2	1.0207e-34	1.064
GPATCH2	1.0165e-11	1.064
TCERG1L	6.8376e-09	1.064
DOC2B	0.017055	1.065
APOBEC2	0.01707	1.065
PLD2	4.1429e-27	1.065
SFT2D1	0.0016186	1.065
AATF	2.5958e-12	1.065
ILDR1	2.6072e-12	1.065
ATOX1	0.58645	1.065
RABAC1	0.005291	1.066
BBS2	1.0328e-17	1.066
ADORA3	0.0001441	1.066
VWA1	0.0052878	1.066
CCDC42	3.6229e-06	1.066
CPSF4L	0.0016119	1.066
ZNF577	4.2594e-05	1.066
HOXD9	0.017004	1.066
HMGCLL1	2.9827e-07	1.066
PCDHA6	3.6156e-11	1.067
MFSD8	2.5375e-12	1.067
KCTD6	0.016939	1.067
DLX4	0.016921	1.067
SLC5A11	1.6748e-13	1.067
MIS12	0.14672	1.067
KRT8	2.36e-08	1.067
ABCA7	2.1111e-55	1.067
MED7	0.016917	1.067
TCEAL1	0.58578	1.067
DYRK3	3.5842e-06	1.067
LMBR1L	6.614e-13	1.067
WDR93	4.0651e-17	1.067
FSCN3	1.3467e-10	1.067
NDUFAF3	0.0052693	1.067
POLR3F	1.038e-06	1.067
CCER1	4.1961e-05	1.068
TRIM17	8.3141e-08	1.068
ZNF548	0.33982	1.068
DNAAF2	6.4811e-09	1.068
BATF2	0.58536	1.068
RGPD8	2.9332e-07	1.068
SOCS1	0.58544	1.068
GALNT9	0.0052407	1.068
SPATA5L1	3.5478e-11	1.068
TRPM1	1.6009e-42	1.068
IRX1	0.0004765	1.069
FAM83C	8.2423e-08	1.069
C19orf59	0.00014188	1.069
AIPL1	1.222e-05	1.069
GPN3	2.9029e-07	1.069
GPA33	3.5516e-06	1.069
ANKRA2	3.5443e-06	1.069
TCEANC	0.051926	1.069
RP11-371E8.4	0.016849	1.069
RP11-295D22.1	0.58464	1.07
CECR1	8.1396e-08	1.07
SPRED2	2.8684e-07	1.07
CD83	0.0052136	1.07
ARHGEF37	6.1367e-13	1.07
ABCA9	9.4911e-48	1.07
FAM194B	1.0046e-14	1.07
SUMF1	2.2828e-08	1.07
DNAJC25	1.2112e-05	1.07
PMPCA	3.437e-11	1.07
ADSL	8.9207e-12	1.071
TMEM147	0.00014005	1.071
TTLL11	6.2403e-09	1.071
MINA	2.2584e-08	1.071
MYOZ2	0.0015748	1.071
USP44	9.8051e-15	1.071
DOK2	1.2082e-05	1.071
CCDC127	0.00047328	1.071
CCDC146	1.3126e-26	1.072
RCAN1	0.016675	1.072
ANKAR	1.02e-31	1.072
ART4	0.0015662	1.072
SDS	0.00013923	1.072
TAAR6	0.016668	1.072
NOMO2	9.9709e-07	1.072
PTGES3L	0.0051619	1.072
PNMA2	0.0015661	1.072
C10orf53	0.58427	1.072
CAPN2	3.519e-22	1.072
CPVL	3.3502e-11	1.072
OCIAD1	9.9492e-07	1.072
ME3	1.5112e-13	1.072
VAT1L	9.9386e-07	1.072
POLD4	0.1451	1.073
ABHD4	2.2197e-08	1.073
TM4SF1	0.0015619	1.073
CD7	0.05135	1.073
NPEPL1	9.8457e-07	1.073
LPAR5	0.051408	1.073
SGPP1	0.0001389	1.073
ERI1	1.1866e-05	1.073
ACSM1	2.2841e-15	1.074
RP11-644F5.10	0.051295	1.074
ITLN1	3.4119e-06	1.074
ETNK2	9.808e-07	1.074
MICB	4.0609e-05	1.074
PRSS36	4.51e-19	1.074
SF3B5	0.58354	1.074
UAP1L1	3.4123e-06	1.074
DPY19L4	1.4234e-21	1.074
TCHHL1	0.58371	1.074
TTLL12	2.2425e-15	1.074
GCA	0.00013787	1.074
WDR72	2.733e-27	1.074
MMP17	2.1964e-08	1.074
TMEM185A	0.016569	1.074
VRK3	3.2374e-11	1.074
DDX58	1.7558e-23	1.075
PRICKLE4	4.0289e-05	1.075
CYB5RL	3.3734e-06	1.075
LGALS4	2.7538e-07	1.075
PIGW	1.172e-05	1.075
RAMP2	0.051127	1.075
BSPH1	0.016492	1.075
GINS4	0.00013735	1.075
MAB21L3	9.6909e-07	1.075
R3HDM4	0.00046251	1.075
MBOAT1	2.1535e-12	1.075
PTCRA	0.14449	1.075
C5orf34	8.9961e-15	1.075
FAM179A	1.31e-16	1.075
LACC1	1.1655e-05	1.076
AP1M2	2.1436e-08	1.076
GPR82	0.14409	1.076
UQCRB	0.016423	1.076
GRAMD1C	5.6287e-21	1.076
C16orf96	5.5816e-21	1.076
MSTO1	1.6182e-09	1.076
POPDC2	4.0063e-05	1.076
SMYD4	8.7782e-15	1.076
ZNF334	1.6122e-09	1.076
LRRC38	0.14423	1.076
RP11-529K1.3	1.1648e-05	1.076
ALDH16A1	2.3658e-20	1.076
CXorf38	0.00013652	1.076
MOB3B	0.016386	1.077
ARPC4-TTLL3	1.3565e-13	1.077
IDI1	3.9769e-05	1.077
NTMT1	0.050783	1.077
TTLL6	9.7742e-20	1.077
USHBP1	2.9968e-17	1.077
PANX3	3.9672e-05	1.077
ART5	0.00045797	1.077
DRAM2	0.0001357	1.077
PTGR2	2.7131e-07	1.077
ADAP2	4.2394e-10	1.078
C11orf21	0.016355	1.078
ANXA13	4.2441e-10	1.078
TMEM232	7.9307e-12	1.078
PCID2	5.2663e-13	1.078
SLC17A4	1.5714e-09	1.078
IDO1	3.3013e-06	1.078
MITD1	1.1445e-05	1.078
TJP3	6.7101e-23	1.078
MAN2C1	2.7689e-29	1.078
PNPLA7	5.3653e-37	1.078
DPH6	1.1419e-05	1.079
AP1S3	0.016298	1.079
TMEM136	0.0050232	1.079
MMD	0.0001344	1.079
ZNF782	4.215e-10	1.079
FAM198B	5.6948e-09	1.079
CHRNA1	2.0681e-08	1.079
FZD6	2.0034e-12	1.079
FAM228A	0.016302	1.079
SUOX	9.399e-07	1.079
GUCY2C	1.3919e-30	1.079
SPATA5	9.0776e-20	1.079
ATG16L2	4.6874e-16	1.08
DMBT1	4.476e-63	1.08
PNMT	0.0050065	1.08
NPY	0.14294	1.08
RBPJL	2.9189e-11	1.08
TRIM45	2.061e-08	1.08
TNNC2	0.01624	1.08
NGDN	2.0427e-08	1.08
SMUG1	0.00045154	1.08
UGT1A1	3.2577e-06	1.08
CEP55	1.964e-12	1.08
PEX11B	0.00013346	1.08
DFFB	1.1349e-05	1.08
SYNE3	1.7571e-25	1.08
RLBP1	1.1303e-05	1.08
ANKRD35	1.6568e-25	1.081
NEIL3	1.522e-09	1.081
EEF2K	8.3628e-20	1.081
ABCB8	1.9164e-15	1.081
PTCD3	2.487e-22	1.081
CYP27C1	9.2035e-07	1.081
C5orf15	0.050281	1.081
ACE	1.0344e-37	1.081
MYH1	1.3645e-56	1.081
CDK5RAP3	7.6348e-15	1.081
PTTG1IP	0.0049827	1.081
TMEM208	0.0015059	1.081
LOR	0.33454	1.081
EXTL1	7.3142e-12	1.082
NDOR1	4.8084e-13	1.082
FBXO40	5.5318e-09	1.082
CLDN19	0.0049681	1.082
YAE1D1	0.001499	1.082
NHP2	0.05011	1.082
ALS2CL	4.297e-28	1.082
OR11L1	0.050098	1.082
PTRF	0.0049657	1.082
ACOT11	1.0844e-16	1.082
SLFNL1	3.8491e-05	1.082
DPAGT1	1.117e-05	1.082
CDX1	0.14253	1.082
MOCS1	9.1165e-07	1.082
QTRT1	2.5932e-07	1.082
MZF1	1.0667e-10	1.082
FCGR1A	0.00013116	1.083
CHCHD5	0.049956	1.083
ACTR6	5.4629e-09	1.083
AIFM2	1.1064e-05	1.083
RHO	0.00013108	1.083
GPC5	3.9864e-10	1.083
LACTBL1	0.0014956	1.083
AQP1	2.5697e-07	1.083
CCDC62	4.3887e-16	1.083
FRK	1.8071e-12	1.084
TRPV1	1.0103e-16	1.084
ZNF559-ZNF177	0.00044299	1.084
OSGEP	7.0838e-08	1.084
CCL15	0.3333	1.084
SHPK	1.0103e-16	1.084
RGS18	0.0014903	1.084
SEPT1	1.9572e-08	1.084
THY1	0.049895	1.084
FUT10	5.4119e-09	1.084
LRRC6	1.0409e-10	1.084
DOHH	0.015986	1.084
ARSK	3.9395e-10	1.084
GC	2.7301e-11	1.084
XCR1	0.016001	1.084
IGSF6	0.0014791	1.085
ACAD10	1.0177e-30	1.085
PSMC3IP	3.7819e-05	1.085
TEKT1	8.9486e-07	1.085
PIRT	0.5802	1.085
SMPD1	3.8932e-10	1.085
RFX8	5.3224e-09	1.085
SLC35E4	0.015961	1.085
TAF13	0.015944	1.085
BTN1A1	1.9496e-08	1.085
NIT1	8.9425e-07	1.085
SPIDR	2.3847e-17	1.085
C5orf51	3.109e-06	1.086
ERCC2	7.0654e-20	1.086
CD151	1.0841e-05	1.086
MTMR11	4.7707e-23	1.086
CDKL1	2.5004e-07	1.086
CLIC2	0.049547	1.086
RWDD3	0.0014761	1.086
RHOD	0.015921	1.086
WDR64	4.9565e-32	1.086
TBC1D26	1.086e-05	1.086
SLC37A3	1.124e-13	1.086
GRK4	1.6286e-15	1.087
NHLH2	0.57964	1.087
CCDC172	3.7344e-05	1.087
ACOT12	2.7282e-14	1.087
AQP6	0.015875	1.087
NTSR2	0.0048692	1.087
CCDC3	0.0048709	1.087
USH1G	3.7481e-05	1.087
RPUSD2	8.8012e-07	1.087
REXO4	8.7916e-07	1.087
C6orf89	8.7766e-07	1.087
RP11-58C22.1	0.5792	1.088
PDCL2	0.0014645	1.088
SLC6A16	4.2922e-13	1.088
CASP12	0.00012749	1.088
EDEM1	1.0594e-13	1.088
FGF4	0.1406	1.088
AACS	9.1275e-17	1.088
FAM161B	1.0758e-13	1.088
RPS21	0.1406	1.088
TACO1	0.0014606	1.088
FRRS1L	0.0014611	1.088
CYP2A13	8.6461e-07	1.089
CASP6	0.00012665	1.089
LACTB2	3.6864e-05	1.089
APPL2	1.1641e-18	1.089
TRAF5	1.6736e-12	1.089
ZNF627	0.33124	1.089
PTPN22	3.4921e-21	1.089
EBNA1BP2	1.3668e-09	1.089
HSD17B8	3.6923e-05	1.089
FKBP2	0.049274	1.089
CEP19	0.015687	1.09
TMOD4	1.8344e-08	1.09
DDX52	1.5121e-15	1.09
DSG3	1.4584e-20	1.09
SPDL1	8.5955e-17	1.09
STXBP4	2.5154e-14	1.09
NAALAD2	1.4282e-20	1.09
SPATA18	1.0088e-13	1.091
PXDNL	2.2028e-35	1.091
FAM168B	0.015675	1.091
CUEDC1	6.6336e-08	1.091
TTPA	0.0014409	1.091
HSD17B3	8.4911e-07	1.091
SIGLEC7	2.388e-07	1.091
VILL	3.9093e-23	1.091
SLC34A2	9.3992e-11	1.091
AP5M1	1.3325e-09	1.091
PDCD2L	8.4791e-07	1.091
FANCG	2.4859e-14	1.091
CIB2	0.0014456	1.091
ATF4	0.015659	1.091
DUSP11	8.4923e-07	1.091
LYPLA1	3.6468e-05	1.091
ZNF621	1.0463e-05	1.092
ITIH2	3.8025e-23	1.092
CABP5	0.0047939	1.092
ZNF135	1.5569e-12	1.092
GALK1	1.042e-05	1.092
KEL	3.1154e-21	1.092
CCDC71L	0.57806	1.092
EXOSC7	1.0442e-05	1.092
WIF1	1.3249e-09	1.092
GMPPB	8.437e-07	1.092
MED10	0.048839	1.092
PRRX2	0.13959	1.092
KRT27	1.7955e-08	1.092
NINL	2.6545e-39	1.092
FAM217A	4.8219e-09	1.093
ADAMTSL4	2.6008e-28	1.093
FMO1	9.1198e-11	1.093
CA9	1.3027e-09	1.093
C1QTNF1	0.00042421	1.093
SPERT	3.6118e-05	1.093
SNX22	0.0047609	1.093
HAUS3	1.2992e-09	1.093
XRCC4	8.2774e-07	1.094
CLDN12	0.048525	1.094
NOSTRIN	3.2029e-16	1.094
SAP30L	0.0014279	1.094
RFT1	3.7445e-13	1.094
RD3L	0.048594	1.094
C1QC	0.048591	1.094
ATP8B4	3.6708e-34	1.094
SH2D2A	8.2695e-07	1.094
SH2D5	6.4459e-08	1.094
STON1-GTF2A1L	1.5167e-22	1.094
ALDH2	3.3959e-10	1.094
PTPN7	9.4147e-14	1.094
SEPP1	8.2884e-07	1.094
NDUFB10	0.0047516	1.094
TRMT112	0.13916	1.094
CCDC94	8.2518e-07	1.095
RAD1	0.00012252	1.095
C8orf34	1.4855e-12	1.095
ULK4	4.4336e-38	1.095
MID1IP1	0.57733	1.095
SNX31	3.6683e-13	1.095
TUBA8	3.5702e-05	1.095
RIOK1	2.2477e-14	1.095
MSMP	0.048387	1.095
ZNF620	0.00041957	1.095
LPL	1.2712e-09	1.095
SCNM1	2.9187e-06	1.095
KRT25	4.6459e-09	1.096
PNCK	1.0166e-05	1.096
EXOSC2	2.8854e-06	1.096
UCK1	1.0175e-05	1.096
CLIC6	3.5342e-05	1.096
MUC20	0.0047211	1.096
GPIHBP1	0.13866	1.096
IFT57	3.3347e-10	1.096
PPM1D	2.2321e-11	1.096
SUMO3	0.32841	1.096
CTC-435M10.3	3.3296e-10	1.096
FOLR3	0.015409	1.096
TMPRSS7	3.9482e-18	1.097
ARL3	0.0014071	1.097
ARMC10	0.00012123	1.097
QPRT	0.0046997	1.097
GALNT14	7.0648e-17	1.097
BAIAP2L2	1.2298e-09	1.097
ACOXL	5.2479e-15	1.097
NDUFA10	6.2418e-08	1.097
CCDC33	4.9566e-20	1.097
BDKRB1	0.0046897	1.097
CYP4B1	3.2777e-10	1.097
BCL2L15	0.048246	1.097
ARHGAP19	1.4213e-12	1.097
C1orf74	0.015314	1.098
SLC2A8	8.0241e-07	1.098
RPL39	0.57637	1.098
GGT5	2.1567e-11	1.098
MED8	2.844e-06	1.098
SCCPDH	4.5839e-09	1.098
ZNF324B	3.4989e-05	1.098
SMG9	3.4628e-13	1.098
HTR1F	0.0046656	1.099
ROM1	0.00041221	1.099
CYP2W1	2.2124e-07	1.099
CCL25	0.015241	1.099
MRPL38	4.508e-09	1.099
PRR3	0.0013939	1.099
TRPM4	5.6531e-33	1.099
DEPDC7	8.3246e-11	1.099
VSIG2	0.00012031	1.099
ASPA	0.00041128	1.099
RRAS	0.004663	1.099
PTGIS	1.197e-09	1.099
AFMID	4.4977e-09	1.099
CCDC90B	9.9297e-06	1.099
ALDOB	7.8786e-07	1.1
FAP	1.9009e-28	1.1
CLEC12B	9.9015e-06	1.1
SLC9A4	8.286e-14	1.1
SWI5	0.0013862	1.1
KLK15	0.015191	1.1
ADORA1	0.015215	1.1
CDADC1	3.1468e-10	1.1
MIPOL1	2.0845e-11	1.1
PIDD	6.435e-17	1.1
ZNF677	1.6591e-08	1.1
PRODH	5.3577e-12	1.1
P2RX6	4.468e-09	1.1
RPUSD3	2.2032e-07	1.1
NRL	0.047637	1.101
YIF1B	3.4314e-05	1.101
ZNF630	0.000119	1.101
HLTF	1.8724e-28	1.101
TTC38	3.2628e-13	1.101
MARCKS	0.32648	1.101
KRT34	5.9309e-08	1.102
SMIM20	0.57531	1.102
OLFM4	2.7754e-06	1.102
CCDC83	1.1628e-09	1.102
CDC20B	5.1167e-12	1.102
MAL2	0.13691	1.102
MTERFD2	3.4049e-05	1.102
CCM2L	7.7785e-07	1.102
DHX58	3.2013e-13	1.102
MRI1	0.00040621	1.102
COLQ	7.9356e-14	1.102
GPR149	4.3654e-09	1.102
C1orf52	0.047382	1.103
ZNF560	9.6685e-06	1.103
PLCD1	1.737e-19	1.103
RBM18	0.00040287	1.103
AARD	0.3258	1.103
MRPS30	1.5937e-08	1.103
BCKDHB	4.3112e-09	1.103
NTAN1	2.7337e-06	1.104
PNOC	0.015028	1.104
POLM	7.6227e-11	1.104
CCDC53	0.0045705	1.104
CENPM	0.01501	1.104
LINC00692	0.32549	1.104
HIST1H1B	0.57467	1.104
TGIF2	0.13641	1.104
RFX5	1.9605e-11	1.104
KIF6	3.0905e-27	1.105
ANKRD27	3.8647e-31	1.105
KIAA0753	1.5545e-28	1.105
PNPLA3	5.7409e-08	1.105
STX2	2.1087e-07	1.105
FAM92A1	5.788e-08	1.105
CDH15	1.7656e-14	1.105
KCNK18	0.0013568	1.105
PMFBP1	9.339e-34	1.105
RGS11	7.3266e-14	1.105
DAP3	1.1143e-09	1.105
FBXL6	4.2187e-09	1.105
ODF3B	0.0045516	1.105
AGPAT9	4.8042e-12	1.106
TXLNB	4.8053e-12	1.106
ZFP69	1.5454e-08	1.106
MYOM3	1.4264e-47	1.106
WDR88	1.5429e-08	1.106
C2orf71	3.0058e-18	1.106
SLC26A2	7.4963e-07	1.106
KLK13	0.0045435	1.106
FABP5	0.047008	1.106
SLC35F6	0.00011541	1.106
GLDC	6.5777e-28	1.106
BCL2L14	3.3304e-05	1.106
IFRD2	1.098e-09	1.106
CPNE1	1.7292e-14	1.106
TMEM138	0.047034	1.106
TSPAN13	0.00011554	1.106
TDP1	1.2652e-17	1.107
RMND1	1.0863e-09	1.107
S1PR3	0.046945	1.107
SLC25A38	9.4313e-06	1.107
SUSD2	1.8144e-21	1.107
ZNF438	2.6656e-06	1.107
ZNF446	5.6695e-08	1.107
GPR180	4.0903e-09	1.107
TPO	1.8182e-21	1.107
CYP4X1	4.7167e-12	1.107
LHFPL1	0.13548	1.107
ADPRM	0.00039545	1.107
ATG9B	1.2544e-17	1.107
RP4-559A3.7	7.4364e-07	1.107
MTFR2	2.6584e-06	1.107
XPNPEP2	2.867e-13	1.107
ADCK4	2.8159e-13	1.108
FAM129C	2.2418e-16	1.108
RETSAT	6.8328e-14	1.108
CTC-360G5.8	6.6002e-19	1.108
HSF4	1.0632e-09	1.108
TRIM6	1.1425e-12	1.108
AARSD1	4.0653e-09	1.108
ESYT3	2.3108e-25	1.109
CLEC4G	9.3088e-06	1.109
GDPD4	2.7987e-13	1.109
C15orf60	3.2736e-05	1.109
C16orf87	0.0044861	1.109
ZFYVE27	1.0613e-09	1.109
AQP10	0.0013339	1.109
SNX11	7.3043e-07	1.109
AMBN	1.0497e-09	1.109
C2orf74	0.13499	1.109
RAD52	7.1128e-11	1.109
SNRNP25	0.0013382	1.109
FRAT1	0.32349	1.109
FAM45A	5.4591e-08	1.11
EXOSC9	1.7871e-11	1.11
B4GALT7	0.00011304	1.11
CDK18	6.9526e-11	1.11
METAP1D	2.5794e-06	1.111
C19orf44	3.8831e-09	1.111
WDR41	6.4998e-14	1.111
RPE65	6.4889e-14	1.111
XXYLT1	0.0013246	1.111
ZCCHC12	0.04647	1.111
SSC5D	8.1581e-23	1.111
FAM189A2	1.0131e-09	1.112
RPP30	5.3582e-08	1.112
CYP3A43	1.7165e-11	1.112
LY9	2.6039e-13	1.112
RND2	0.00038579	1.112
UGT1A9	5.3634e-08	1.112
VMA21	0.57236	1.112
CELA2B	2.5651e-06	1.112
EMC9	0.0013199	1.112
CRISP3	2.565e-06	1.112
SPO11	1.4473e-08	1.112
WDR65	1.0541e-12	1.112
AP3M2	1.972e-07	1.112
TRPM2	8.9633e-44	1.112
LRRC70	1.9724e-07	1.112
HMGCL	2.5638e-06	1.112
SH3YL1	5.3675e-08	1.112
MAPK13	6.7197e-11	1.112
CAPN14	1.5664e-21	1.112
HS3ST1	0.0044305	1.113
TLCD1	0.0044281	1.113
METTL11B	0.0044204	1.113
DCST1	1.2681e-19	1.113
KRBA1	8.2344e-16	1.113
CMBL	0.00011148	1.113
TTC1	2.5494e-06	1.113
HMCES	1.9468e-07	1.113
PAFAH2	3.8282e-09	1.113
CAPNS1	7.11e-07	1.113
SLC4A9	3.2089e-22	1.114
TALDO1	2.5234e-06	1.114
TUBB3	2.5676e-10	1.114
TIMP4	0.00038342	1.114
CCDC151	3.4684e-15	1.114
DUS4L	3.1791e-05	1.114
TRIM10	3.7432e-09	1.114
RHPN1	1.025e-12	1.114
ZNF707	0.00131	1.114
TM2D1	0.00010999	1.115
AIRE	4.0468e-12	1.115
DUSP27	5.2331e-19	1.115
DYX1C1	9.7181e-10	1.115
LRRC57	0.0013041	1.115
IL10RB	2.5103e-06	1.115
SERPINB6	0.00011009	1.115
PUS3	1.4003e-08	1.115
MAPKAPK3	3.7216e-09	1.115
TRIM38	1.3947e-08	1.115
ACMSD	1.392e-08	1.116
CLCNKA	4.2296e-17	1.116
MRPL37	1.3929e-08	1.116
MORN1	1.6137e-11	1.116
TTC19	1.3788e-08	1.116
ZXDA	0.0043723	1.116
ZNF558	8.8874e-06	1.116
ROS1	1.6184e-72	1.116
LY6E	0.3211	1.116
SERPINE3	2.4978e-06	1.116
WDR4	1.3806e-08	1.116
CLEC11A	0.00038003	1.116
FAM229B	0.57066	1.117
FBXW10	1.818e-27	1.117
THAP10	0.045791	1.117
TRMT11	3.9134e-12	1.117
ZNF177	2.4711e-06	1.117
VWDE	1.3321e-40	1.117
PCDHB5	2.4736e-06	1.117
FAN1	1.6512e-25	1.117
PANX1	2.4684e-06	1.117
FREM1	1.5685e-52	1.117
EMR1	1.4801e-23	1.117
TMBIM1	1.3647e-08	1.117
RP11-618P17.4	0.014339	1.118
SERTAD1	0.32037	1.118
ACAA1	3.5904e-09	1.118
HMMR	5.5222e-21	1.118
FBXL15	0.014337	1.118
UPP1	0.00037588	1.118
CLEC2L	0.014343	1.118
CCDC178	1.4511e-23	1.118
IGFBP7	0.0012873	1.118
TMEM260	4.7299e-19	1.118
GSTA3	0.0012851	1.118
KCTD8	0.00037542	1.118
UGP2	1.3543e-08	1.118
ZNF396	8.7621e-06	1.118
SNTG2	1.3092e-14	1.118
RBM43	0.13251	1.119
GBAS	1.3407e-08	1.119
VNN3	0.0043252	1.119
BFSP1	1.8463e-07	1.119
LILRB2	1.2812e-14	1.119
OCSTAMP	0.001282	1.119
TMPRSS3	6.0739e-11	1.119
CHST8	0.00010793	1.119
CSF2RA	2.3956e-10	1.119
ITLN2	2.4462e-06	1.119
NMI	8.699e-06	1.119
CDH19	1.2935e-14	1.119
PTP4A3	0.045489	1.119
FGF19	0.57022	1.119
PXDC1	0.0043291	1.119
CCDC64B	3.8038e-12	1.119
INSIG1	0.0012827	1.119
LRRC42	1.3431e-08	1.119
PCDHB2	6.7312e-07	1.119
DUT	0.0012744	1.12
PDE6A	6.5775e-25	1.12
TSR1	5.1573e-21	1.12
RFXANK	8.6716e-06	1.12
GLB1L2	4.5015e-19	1.12
MED21	0.014255	1.12
MRPL55	0.014288	1.12
DNAH12	9.0946e-10	1.12
SLC7A9	9.0644e-10	1.121
SLC37A2	1.2292e-14	1.121
AKR1A1	6.6621e-07	1.121
PPP5D1	0.045235	1.121
AVPR1B	0.00037047	1.121
STON1	1.4867e-11	1.121
THAP5	8.6157e-06	1.121
EXD2	3.6578e-12	1.121
TMEM102	8.5749e-06	1.121
PP2D1	3.0461e-05	1.121
ASAH2	0.0042718	1.122
GAS2L3	2.1234e-13	1.122
CCDC65	5.7685e-11	1.122
PHYH	2.3792e-06	1.122
FERD3L	0.31875	1.122
UMODL1	4.2869e-36	1.122
GPR128	8.0386e-18	1.122
IFNAR2	8.5332e-06	1.122
KIAA1586	5.7547e-11	1.122
FCRL2	1.4548e-11	1.122
WDR74	3.4256e-09	1.122
ZNF283	3.4136e-09	1.122
PDCD7	8.5544e-06	1.122
RAMP1	0.13181	1.122
LEKR1	0.13185	1.122
CYP3A4	5.7979e-11	1.122
CATSPER4	5.7136e-11	1.123
LRRIQ4	1.7762e-07	1.123
TNFSF9	0.31823	1.123
ACTL8	0.31835	1.123
CCT6B	5.6679e-11	1.123
HUS1	3.0073e-05	1.123
IMPACT	4.8274e-08	1.123
PRRG1	0.13149	1.123
AQP8	0.00036707	1.123
CLEC4M	6.5585e-07	1.123
SIRPB2	0.00036633	1.123
LOXL4	9.1912e-20	1.123
MRPS7	0.0012591	1.123
TFPT	0.00010562	1.123
RAB31	0.0012566	1.123
DNASE1L3	3.0012e-05	1.123
SLC5A2	4.9184e-14	1.123
TBC1D24	1.2788e-08	1.123
PLEKHN1	1.1549e-14	1.124
DPM2	0.31786	1.124
TMC8	1.1401e-14	1.124
TRIM21	3.3549e-09	1.124
NANOGNB	0.004241	1.124
GPAT2	4.8416e-14	1.124
DCAF4L1	0.31806	1.124
STOX1	1.4404e-16	1.124
C10orf107	0.00036502	1.124
AC024580.1	0.13133	1.124
CCDC105	1.7688e-07	1.124
ATRAID	0.00010516	1.124
ZNF584	0.00010489	1.124
CCDC150	7.9451e-37	1.125
DFNA5	3.2843e-09	1.125
RGP1	3.2975e-09	1.125
ST6GALNAC1	1.3809e-11	1.125
SURF6	6.449e-07	1.125
C4orf27	2.3254e-06	1.125
SHD	8.3568e-06	1.125
KRTAP16-1	8.3521e-06	1.125
TRUB1	2.3333e-06	1.125
GYS2	9.7872e-22	1.125
UROD	1.2563e-08	1.125
CARD9	8.1491e-13	1.126
COQ10A	0.00036102	1.126
CKAP2	8.1751e-13	1.126
CD38	2.3129e-06	1.126
LOH12CR1	0.0012418	1.126
LYPD6B	0.00036139	1.126
WISP1	6.3885e-07	1.126
SLC25A24	3.3527e-12	1.126
KIAA1919	8.298e-06	1.126
ECM1	4.6627e-14	1.126
CCNB1IP1	0.00010395	1.126
CAPN13	2.1544e-22	1.126
AKR1D1	1.7175e-07	1.127
RASL10B	0.0041933	1.127
MSRB1	0.1304	1.127
IQCF2	0.00124	1.127
CEP112	7.0861e-39	1.127
ABCB5	1.5072e-37	1.127
CCR9	0.0041986	1.127
EPHX1	3.2154e-09	1.127
CCL19	0.31691	1.127
KLHL21	6.3071e-07	1.127
RTDR1	0.00036018	1.127
SEC14L4	1.3104e-11	1.128
ARRDC4	1.7064e-07	1.128
KLF1	0.000358	1.128
LDLR	9.841e-24	1.128
GRPEL2	0.00035876	1.128
TTC30B	4.5661e-08	1.128
SPCS1	0.013927	1.128
TAS2R38	0.1303	1.128
HPX	1.3005e-11	1.128
TMEM229B	0.13003	1.129
ACBD6	2.2569e-06	1.129
LCN15	0.0041741	1.129
CABYR	2.258e-06	1.129
ELANE	0.0012274	1.129
DAK	3.1694e-12	1.129
ANKUB1	1.1953e-08	1.129
ANO10	1.0162e-14	1.129
NPIPB11	0.013863	1.129
GSC	0.013852	1.129
DYNC2LI1	3.154e-09	1.129
UBXN10	0.013862	1.129
MEFV	1.0177e-14	1.129
TRIM16	3.1558e-09	1.129
TEX261	0.0012246	1.13
NOL12	0.0012204	1.13
RCN1	2.8821e-05	1.13
ZBTB45	2.8819e-05	1.13
ORC4	7.5667e-13	1.13
NPFFR2	1.6686e-07	1.13
SETMAR	0.00010188	1.13
RTCA	3.0927e-09	1.13
TSTA3	1.6808e-07	1.13
MXRA8	1.6738e-07	1.13
ECH1	6.1604e-07	1.13
NYX	0.12961	1.131
MEGF11	2.3668e-30	1.131
DHX35	4.3653e-25	1.131
AC109829.1	0.00035252	1.131
SMIM12	0.56679	1.131
FHL2	2.8693e-05	1.131
NUCB2	2.0028e-10	1.131
MVB12A	8.024e-06	1.131
GADD45A	0.044075	1.131
SDC4	0.0041475	1.131
FAM188B	3.2175e-19	1.131
TMEM175	3.0549e-09	1.131
ZNF891	6.1344e-07	1.131
IGF2	0.044127	1.131
PGS1	1.2572e-11	1.131
ERAP1	2.0562e-26	1.132
CXCR2	0.013736	1.132
MYF6	0.0041218	1.132
GSX1	0.044024	1.132
TTLL10	1.2286e-11	1.132
BTBD8	6.077e-07	1.132
MFI2	1.1795e-16	1.132
ASTL	6.048e-07	1.132
OR2W1	0.044066	1.132
FUK	1.0421e-29	1.132
